variable,type,explanation
doc\_id,String,(Nur CSV) Dateiname der extrahierten TXT-Datei.
text,String,(Nur CSV) Volltext der Entscheidung. Über Zeilengrenzen getrennte Wörter sind zusammengefügt.
url,String,(Nur CSV) Link zum Volltext der Entscheidung in der Datenbank des BPatG.
gericht,String,Name des Gerichts. Es ist nur der Wert \enquote{BPatG} vergeben. Dies ist der ECLI-Code für \enquote{Bundespatentgericht}. Diese Variable dient vor allem zur einfachen und transparenten Verbindung der Daten mit anderen Datensätzen.
datum,Datum (ISO),Datum der Entscheidung im Format YYYY-MM-DD (ISO-8601).
entscheidungsjahr,Natürliche Zahl,(Nur CSV) Jahr der Entscheidung im Format YYYY (ISO-8601).
leitsatz,String,Ob es sich um eine Leitsatzentscheidung handelt. Der Wert ist entweder \enquote{LE} oder \enquote{NA}.
senatsgruppe,String,Senatsgruppe des Spruchkörpers. Jeder Senat is aufgrund seines speziellen Aufgabengebiets einer Senatsgruppe zugeteilt. Die verschiedenen Senatsgruppen und ihre Codierung sind im Abschnitt \ref{senatsgruppe} erläutert. 
spruchkoerper\_az,String,"Spruchkörper, wie er im jeweiligen amtlichen Aktenzeichen gelistet ist. Beim Bundespatentgericht handelt es sich um die Nummer des Senats. Aufgrund häufiger Senatsumbildungen liegen Entscheidungen vieler Senate vor, die aktuell nicht am Bundespatentgericht aktiv sind."
registerzeichen,String,Das amtliche Registerzeichen. Eine Erläuterung der Abkürzungen findet sich im Abschnitt \ref{register}.
verfahrensart,String,"Die Verfahrensart, auf die das Registerzeichen hinweist. Siehe auch Abschnitt \ref{register}."
eingangsnummer,Natürliche Zahl,"Eingangsnummer. Verfahren des gleichen Eingangsjahres erhalten vom Gericht eine fortlaufene Nummer (Ordinalzahl) in der Reihenfolge ihres Eingangs, um sie voneinander abzugrenzen."
eingangsjahr\_az,Natürliche Zahl,Eingangsjahr laut Aktenzeichen. Das Jahr in dem das Verfahren beim Gericht anhängig wurde. Das Format ist eine zweistellige Jahreszahl (YY).
eingangsjahr\_iso,Natürliche Zahl,Eingangsjahr im Format YYYY-MM-DD (ISO-8601).
zusatz\_az,String,"Optionaler Zusatz zum Aktenzeichen. Entscheidungen, die ein Europäisches Patent betreffen, enthalten den Zusatz \enquote{EP} (neuer) oder \enquote{EU} (älter). Alle anderen Entscheidungen sind mit \enquote{NA} markiert. Der Zusatz ist, wenn nicht \enquote{NA}, Teil des amtlichen Aktenzeichens."
kollision,Natürliche Zahl,"Eine von mir vergebene Kollisionsnummer, falls die Dateinamen ansonsten identisch wären. Nicht vom BPatG vergeben!"
