"court","name_last","name_first","sex","term_begin_date","term_end_date","birth_date","death_date","term_begin_year","term_end_year","birth_year","death_year","term_begin_age","term_end_age","death_age","wikidata","gnd","comment","version","doi_concept","doi_version"
"BVerfG","Höpker-Aschoff","Hermann","M",1951-09-07,1954-01-15,1883-01-31,1954-01-15,1951,1954,1883,1954,68,70,70,"Q95370","119208857",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","VACANCY-1","VACANCY-1",NA,1954-01-16,1954-03-22,NA,NA,1954,1954,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Wintrich","Josef","M",1954-03-23,1958-10-19,1891-02-15,1958-10-19,1954,1958,1891,1958,63,67,67,"Q1706072","102107297",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","VACANCY-2","VACANCY-2",NA,1958-10-20,1959-01-07,NA,NA,1958,1959,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Müller","Gebhard","M",1959-01-08,1971-12-07,1900-04-17,1990-08-07,1959,1971,1900,1990,58,71,90,"Q69051","11858488X",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Benda","Ernst","M",1971-12-08,1983-12-19,1925-01-15,2009-03-02,1971,1983,1925,2009,46,58,84,"Q494994","119210371",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Zeidler","Wolfgang","M",1983-12-20,1987-11-15,1924-09-02,1987-12-31,1983,1987,1924,1987,59,63,63,"Q109543","118828290",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Herzog","Roman","M",1987-11-16,1994-06-30,1934-04-05,2017-01-10,1987,1994,1934,2017,53,60,82,"Q2563","119155087",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","VACANCY-3","VACANCY-3",NA,1994-07-01,1994-09-13,NA,NA,1994,1994,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
"BVerfG","Limbach","Jutta","F",1994-09-14,2002-04-09,1934-03-27,2016-09-10,1994,2002,1934,2016,60,68,82,"Q72551","115501258",NA,2023-03-21,"10.5281/zenodo.4568681","10.5281/zenodo.4568682"
